section_label;start_sec;end_sec;issue_auto;confidence_auto;boundary_time_sec
Section_01;0.0;10.026666666666667;ok;0.90;0
Section_02;10.026666666666667;20.042666666666666;false_boundary;0.10;10.026666666666667
Section_03;20.042666666666666;30.048;on_silence;0.10;20.042666666666666
Section_04;30.048;40.181333333333335;false_boundary;0.05;30.048
Section_05;40.181333333333335;50.19733333333333;false_boundary;0.05;40.181333333333335
Section_06;50.19733333333333;60.330666666666666;false_boundary;0.05;50.19733333333333
Section_07;60.330666666666666;71.89333333333333;false_boundary;0.05;60.330666666666666
Section_08;71.89333333333333;81.89866666666667;false_boundary;0.10;71.89333333333333
Section_09;81.89866666666667;91.91466666666666;boundary_shift_early;0.7;81.89866666666667
Section_10;91.91466666666666;107.35997916666666;false_boundary;0.10;91.91466666666666
Section_missing;22.511250;NONE;missing_boundary;0.8;NONE
Section_missing;62.509312;NONE;missing_boundary;0.75;NONE
